schedule_code,schedule_for_route_code,route_code,route_name,route_destination,route_variant,first_stop_code,last_stop_code,start_time,stop_time,run_code,duty_code,is_halfway,shift_type
64/A,5389131,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,6:50:00,7:30:00,64/A,64/A-G,0,General Shift
64/B,5389132,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,7:30:00,8:10:00,64/B,64/B-G,0,General Shift
64/C,5389133,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,8:10:00,8:50:00,64/C,64/C-G,0,General Shift
64/A,5389134,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,8:25:00,9:20:00,64/A,64/A-G,0,General Shift
64/D,5389135,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,8:50:00,9:35:00,64/D,64/D-G,0,General Shift
64/B,5389136,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,9:05:00,10:00:00,64/B,64/B-G,0,General Shift
64/C,5389137,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,9:40:00,10:40:00,64/C,64/C-G,0,General Shift
64/A,5389138,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,10:15:00,11:10:00,64/A,64/A-G,0,General Shift
64/A,5389139,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,12:00:00,12:50:00,64/A,64/A-G,0,General Shift
64/A,5389140,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,14:45:00,15:35:00,64/A,64/A-G,0,General Shift
64/B,5389141,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,10:55:00,11:50:00,64/B,64/B-G,0,General Shift
64/B,5389142,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,12:40:00,13:30:00,64/B,64/B-G,0,General Shift
64/B,5389143,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,15:25:00,16:20:00,64/B,64/B-G,0,General Shift
64/C,5389144,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,11:35:00,12:25:00,64/C,64/C-G,0,General Shift
64/C,5389145,64-U,Lal Darwaja - Gujarat High Court,Gujarat High Court,NORMAL,1125,1687,12:25:00,13:15:00,64/C,64/C-G,0,General Shift
64/C,5389146,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,13:15:00,14:10:00,64/C,64/C-G,0,General Shift
64/C,5389147,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,16:10:00,17:00:00,64/C,64/C-G,0,General Shift
64/D,5389148,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,10:30:00,11:25:00,64/D,64/D-G,0,General Shift
64/D,5389149,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,12:20:00,13:10:00,64/D,64/D-G,0,General Shift
64/D,5389150,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,14:10:00,14:55:00,64/D,64/D-G,0,General Shift
64/D,5389151,64-D,Gujarat High Court - Lal Darwaja,Lal Darwaja,NORMAL,1621,1077,17:00:00,18:10:00,64/D,64/D-G,0,General Shift
711M/A,5389152,71/1-LM-D,Moti Bhoyan Chokdi - Lal Darwaja,Lal Darwaja,NORMAL,5514,1077,8:00:00,9:45:00,711M/A,71/1/A-G,0,General Shift
711M/A,5389153,71/1-LM-U,Lal Darwaja - Moti Bhoyan Chokdi,Moti Bhoyan Chokdi,NORMAL,1125,2757,9:45:00,11:40:00,711M/A,71/1/A-G,0,General Shift
711M/B,5389154,71/1-LM-U,Lal Darwaja - Moti Bhoyan Chokdi,Moti Bhoyan Chokdi,NORMAL,1125,2757,7:15:00,8:45:00,711M/B,71/1/B-G,0,General Shift
711M/B,5389155,71/1-LM-D,Moti Bhoyan Chokdi - Lal Darwaja,Lal Darwaja,NORMAL,5514,1077,8:45:00,10:30:00,711M/B,71/1/B-G,0,General Shift
1302/A,5389156,130/2-U,Naroda - Kamod Gam,Kamod Gam,NORMAL,1543,1876,6:00:00,7:20:00,1302/A,1302/A-F,0,First Shift
1302/A,5389157,130/2-D,Kamod Gam - Naroda,Naroda,NORMAL,1915,1434,7:20:00,9:30:00,1302/A,1302/A-F,0,First Shift
1302/A,5389158,130/2-U,Naroda - Kamod Gam,Kamod Gam,NORMAL,1543,1876,9:30:00,11:30:00,1302/A,1302/A-F,0,First Shift
1302/A,5389159,130/2-D,Kamod Gam - Naroda,Naroda,NORMAL,1915,1434,11:30:00,13:20:00,1302/A,1302/A-F,0,First Shift
1302/A,5389160,130/2-NC-U,Naroda - C.T.M. Cross Road,C.T.M. Cross Road,NORMAL,1543,3087,14:25:00,15:15:00,1302/A,1302/A-S,0,Second Shift 
1302/A,5389161,130/2-CN-D,C.T.M. Cross Road - Naroda,Naroda,NORMAL,3158,1434,15:15:00,16:15:00,1302/A,1302/A-S,0,Second Shift 
1302/A,5389162,130/2-U,Naroda - Kamod Gam,Kamod Gam,NORMAL,1543,1876,16:15:00,18:00:00,1302/A,1302/A-S,0,Second Shift 
1302/A,5389163,130/2-D,Kamod Gam - Naroda,Naroda,NORMAL,1915,1434,18:00:00,19:30:00,1302/A,1302/A-S,0,Second Shift 
89/3/G,5389214,89/3-CS-D,Chandkheda(Sarthi Bunglows)- Kalupur Terminus,Kalupur Terminus,NORMAL,2195,1715,6:30:00,7:30:00,89/3/G,89/3/G-G,0,General Shift
56/A,5389215,56-U,Sitarambapa Chowk (Gopal Chowk) - Iskon Mandir,Iskon Mandir,NORMAL,8923,3213,6:30:00,8:15:00,56/A,56/A-G,0,General Shift
56/A,5389216,56-D,Iskon Mandir - Sitarambapa Chowk (Gopal Chowk),Sitarambapa Chowk (Gopal Chowk),NORMAL,3197,8923,8:15:00,10:15:00,56/A,56/A-G,0,General Shift
